Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,100,11349,3.1525,M24,972,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,N22,93298,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,N23,77552,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,N24,90453,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,O22,inf,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,O23,inf,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,O24,inf,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,P22,2322,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,P23,988,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,P24,696,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,L22,inf,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,L23,inf,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,L24,inf,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,M22,948,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,M23,948,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,M24,933,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,N22,94496,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,N23,77865,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,N24,92077,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,O22,inf,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,O23,inf,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,O24,inf,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,P22,2297,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,P23,970,AFU,485,515,gfp100485515
gfp,100,11529,3.2025,P24,717,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,L22,inf,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,L23,inf,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,L24,inf,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,M22,956,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,M23,987,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,M24,954,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,N22,96181,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,N23,80993,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,N24,94121,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,O22,inf,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,O23,inf,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,O24,inf,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,P22,2337,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,P23,1035,AFU,485,515,gfp100485515
gfp,100,11709,3.2525,P24,708,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,L22,inf,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,L23,inf,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,L24,inf,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,M22,989,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,M23,958,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,M24,953,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,N22,96365,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,N23,83399,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,N24,94930,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,O22,inf,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,O23,inf,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,O24,inf,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,P22,2307,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,P23,1026,AFU,485,515,gfp100485515
gfp,100,11889,3.3025,P24,684,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,L22,inf,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,L23,inf,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,L24,inf,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,M22,1038,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,M23,961,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,M24,948,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,N22,96262,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,N23,82767,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,N24,98071,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,O22,inf,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,O23,inf,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,O24,inf,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,P22,2355,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,P23,1068,AFU,485,515,gfp100485515
gfp,100,12069,3.3525,P24,726,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,L22,inf,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,L23,inf,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,L24,inf,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,M22,1054,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,M23,978,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,M24,1037,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,N22,99343,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,N23,84936,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,N24,99761,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,O22,inf,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,O23,inf,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,O24,inf,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,P22,2312,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,P23,1020,AFU,485,515,gfp100485515
gfp,100,12249,3.4025,P24,714,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,L22,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,L23,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,L24,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,M22,988,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,M23,970,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,M24,993,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,N22,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,N23,85824,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,N24,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,O22,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,O23,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,O24,inf,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,P22,2341,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,P23,1049,AFU,485,515,gfp100485515
gfp,100,12429,3.4525,P24,744,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,L22,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,L23,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,L24,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,M22,1106,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,M23,1017,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,M24,1041,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,N22,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,N23,86836,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,N24,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,O22,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,O23,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,O24,inf,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,P22,2365,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,P23,1105,AFU,485,515,gfp100485515
gfp,100,12609,3.5025,P24,736,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,L22,inf,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,L23,inf,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,L24,inf,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,M22,1070,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,M23,992,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,M24,1011,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,N22,inf,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,N23,88720,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,N24,inf,AFU,485,515,gfp100485515
gfp,100,12789,3.5525,O22,inf,AFU,485,515,gfp100485515
