

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201006_psigmax_28_day2.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Miki.Yun\MY_ gfp_485_515_091117_ protocol.prt



Plate Number	Plate 1
Date	10/6/2020
Time	9:42:45 AM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 29°C
	Preheat before moving to next step
Start Kinetic	Runtime 14:00:00 (HH:MM:SS), Interval 0:03:00, 281 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5																				Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	C1	C2	C3	C4	C5
6:03:04	29.0	52925	2220	OVRFLW	1915	6324
6:06:04	29.0	52916	2191	OVRFLW	1903	6217
6:09:04	29.0	53952	2225	OVRFLW	1951	6620
6:12:04	29.0	53517	2226	OVRFLW	1966	6577
6:15:04	29.0	54277	2316	OVRFLW	1959	6370
6:18:04	29.0	53308	2272	OVRFLW	2000	6619
6:21:04	29.0	53631	2287	OVRFLW	1905	6737
6:24:04	29.0	55118	2321	OVRFLW	1906	6752
6:27:04	29.0	54457	2364	OVRFLW	1937	6703
6:30:04	29.0	55457	2443	OVRFLW	2010	6796
6:33:04	29.0	55868	2461	OVRFLW	2064	6747
6:36:04	29.0	56368	2489	OVRFLW	2002	6776
6:39:04	29.0	55792	2443	OVRFLW	2061	6524
6:42:04	29.0	56810	2414	OVRFLW	2004	6647
6:45:04	29.0	57729	2508	OVRFLW	2086	6699
6:48:04	29.0	56771	2486	OVRFLW	2025	6799
6:51:04	29.0	58022	2518	OVRFLW	2082	6713
6:54:04	29.0	58924	2546	OVRFLW	1988	6945
6:57:04	29.0	57506	2518	OVRFLW	2081	6846
7:00:04	29.0	58046	2626	OVRFLW	1991	6854
7:03:04	29.0	58744	2666	OVRFLW	2141	7027
7:06:04	29.0	58431	2647	OVRFLW	2099	7054
7:09:04	29.0	58710	2682	OVRFLW	2044	6878
7:12:04	29.0	60432	2650	OVRFLW	1999	6933
7:15:04	29.0	59615	2694	OVRFLW	2146	6848
7:18:04	29.1	60428	2764	OVRFLW	2146	7233
7:21:04	29.0	60857	2730	OVRFLW	2098	7124
7:24:04	29.0	61269	2680	OVRFLW	2077	7077
7:27:04	29.0	62563	2755	OVRFLW	2102	6966
7:30:04	29.0	60113	2804	OVRFLW	2218	7501
7:33:04	29.0	62171	2617	OVRFLW	2165	7181
7:36:04	29.0	63875	2744	OVRFLW	2159	7307
7:39:04	29.0	62388	2801	OVRFLW	2161	7279
7:42:04	29.0	61231	2841	OVRFLW	2164	7195
7:45:04	29.0	64194	2843	OVRFLW	2141	7382
7:48:04	29.0	63012	2869	OVRFLW	2182	7325
7:51:04	29.0	62258	2902	OVRFLW	2151	7366
7:54:04	29.0	63745	2873	OVRFLW	2159	7352
7:57:04	29.0	63565	2915	OVRFLW	2157	7248
8:00:04	29.0	63259	2976	OVRFLW	2283	7354
8:03:04	29.0	63519	2943	OVRFLW	2240	7396
8:06:04	29.0	64611	3000	OVRFLW	2236	7303
8:09:04	29.0	64303	2901	OVRFLW	2231	7413
8:12:04	29.0	65148	2931	OVRFLW	2238	7432
8:15:04	29.0	65778	3003	OVRFLW	2167	7494
8:18:04	29.1	65819	3002	OVRFLW	2219	7658
8:21:04	29.1	65707	3125	OVRFLW	2192	7453
8:24:04	29.0	65740	2888	OVRFLW	2231	7721
8:27:04	29.0	64767	3054	OVRFLW	2255	7651
8:30:04	29.0	68234	3051	OVRFLW	2266	7684
8:33:04	29.0	66287	3136	OVRFLW	2271	7491
8:36:04	29.0	67045	3143	OVRFLW	2213	7621
8:39:04	29.0	67792	3093	OVRFLW	2291	7773
8:42:04	29.0	68465	3112	OVRFLW	2294	7705
8:45:04	29.0	68164	3005	OVRFLW	2292	7625
8:48:04	29.1	68925	3196	OVRFLW	2296	7715
8:51:04	29.0	67578	3198	OVRFLW	2376	7789
8:54:04	29.0	69114	3173	OVRFLW	2367	7638
8:57:04	29.0	67580	3093	OVRFLW	2345	7641
