Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,1440,0.4,I1,507,AFU,485,515,gfp61485515
gfp,61,1440,0.4,I2,500,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A1,4599,AFU,485,515,gfp61485515
gfp,61,1620,0.45,A2,4513,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B1,138,AFU,485,515,gfp61485515
gfp,61,1620,0.45,B2,131,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C1,3550,AFU,485,515,gfp61485515
gfp,61,1620,0.45,C2,4059,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D1,4833,AFU,485,515,gfp61485515
gfp,61,1620,0.45,D2,4056,AFU,485,515,gfp61485515
gfp,61,1620,0.45,E1,42,AFU,485,515,gfp61485515
gfp,61,1620,0.45,E2,41,AFU,485,515,gfp61485515
gfp,61,1620,0.45,F1,3609,AFU,485,515,gfp61485515
gfp,61,1620,0.45,F2,4087,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G1,7616,AFU,485,515,gfp61485515
gfp,61,1620,0.45,G2,7171,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H1,2795,AFU,485,515,gfp61485515
gfp,61,1620,0.45,H2,3114,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I1,502,AFU,485,515,gfp61485515
gfp,61,1620,0.45,I2,490,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A1,4776,AFU,485,515,gfp61485515
gfp,61,1800,0.5,A2,4431,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B1,136,AFU,485,515,gfp61485515
gfp,61,1800,0.5,B2,136,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C1,3552,AFU,485,515,gfp61485515
gfp,61,1800,0.5,C2,3949,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D1,4774,AFU,485,515,gfp61485515
gfp,61,1800,0.5,D2,4125,AFU,485,515,gfp61485515
gfp,61,1800,0.5,E1,45,AFU,485,515,gfp61485515
gfp,61,1800,0.5,E2,38,AFU,485,515,gfp61485515
