Software Version	3.04.17																								
																									
																									
																									
Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201105_gfp_miscinbeg.xpt																								
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt																								
																									
																									
																									
Plate Number	Plate 1																								
Date	11/5/20																								
Time	5:53:13 PM																								
Reader Type:	Synergy H1																								
Reader Serial Number:	271275																								
Reading Type	Reader																								
																									
Procedure Details																									
																									
Plate Type	384 WELL PLATE																								
Well Selection	Runtime																								
Eject plate on completion																									
Set Temperature	Setpoint 34°C																								
	Preheat before moving to next step																								
Start Kinetic	"Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads"																								
    Read	gfp																								
	Fluorescence Endpoint																								
	Full Plate																								
10:36:00	34	889	1858	102	94	1629	2721	2875	2814	23	20	727	797	4014	3831	2725	2419	79	71						
10:39:00	34	903	1868	108	86	1623	2770	2859	2889	24	17	735	813	4087	3793	2694	2425	87	73						
10:42:00	34	906	1846	105	89	1617	2778	2887	2878	22	23	738	808	4028	3812	2734	2421	86	75						
10:45:00	34	900	1865	103	89	1608	2745	2844	2893	25	22	724	805	4054	3791	2734	2388	87	73						
10:48:00	34	879	1849	109	89	1625	2783	2901	2897	23	24	748	820	4044	3813	2726	2451	89	81						
10:51:00	34	918	1845	109	86	1567	2790	2844	2896	30	22	732	782	4036	3832	2704	2419	83	78						
10:54:00	34	906	1866	102	88	1585	2815	2940	2917	25	24	720	816	4067	3825	2697	2464	95	62						
10:57:00	34	913	1888	108	94	1614	2781	2955	2896	29	21	733	802	4043	3912	2747	2427	87	72						
11:00:00	34	890	1907	113	106	1640	2835	2987	2932	22	5	742	800	4085	3855	2744	2427	85	72						
11:03:00	34	896	1874	116	94	1609	2754	2941	2932	29	21	736	793	4088	3870	2704	2448	83	74						
11:06:00	34	904	1897	108	92	1647	2798	2833	2895	26	19	753	818	4109	3821	2746	2407	85	74						
11:09:00	34	907	1863	108	89	1613	2768	2912	2984	31	16	731	812	4083	3873	2730	2420	89	71						
11:12:00	34	911	1913	116	89	1647	2741	2936	2908	20	37	709	807	4129	3835	2758	2402	91	71						
11:15:00	34	922	1881	98	96	1653	2830	2956	2916	23	23	745	801	4094	3833	2682	2412	92	78						
11:18:00	34	913	1887	102	99	1638	2737	2914	2910	25	21	730	812	4026	3885	2742	2428	91	78						
